Whisk_Name,URL,Num_Revs,Brand,Cost,Age,ABV,Flavor,Profile
HIGHLAND PARK 21 YEAR,https://distiller.com/spirits/highland-park-21-year,84,Highland Park,spirit-cost cost-5,21 YEAR,47.5,RICH & SPICY,"{""smoky"":15,""peaty"":10,""spicy"":65,""herbal"":10,""oily"":10,""full_bodied"":60,""rich"":65,""sweet"":50,""briny"":5,""salty"":5,""vanilla"":35,""tart"":10,""fruity"":40,""floral"":10}"
ARDBEG DARK COVE (2016 COMMITTEE RELEASE),https://distiller.com/spirits/ardbeg-dark-cove-2016-committee-release,85,Ardbeg,spirit-cost cost-4,NAS,55.0,RICH & FULL BODIED,"{""smoky"":50,""peaty"":30,""spicy"":25,""herbal"":10,""oily"":20,""full_bodied"":80,""rich"":85,""sweet"":70,""briny"":20,""salty"":0,""vanilla"":40,""tart"":20,""fruity"":60,""floral"":0}"
OCTOMORE 10 YEAR SECOND EDITION (2016),https://distiller.com/spirits/octomore-10-year-second-edition,83,Octomore,spirit-cost cost-5,10 YEAR,57.3,RICH & SMOKY,"{""smoky"":85,""peaty"":80,""spicy"":50,""herbal"":60,""oily"":60,""full_bodied"":70,""rich"":85,""sweet"":50,""briny"":20,""salty"":0,""vanilla"":40,""tart"":30,""fruity"":60,""floral"":60}"
OCTOMORE 09.1 DIALOGOS,https://distiller.com/spirits/octomore-09-1-dialogos,81,Octomore,spirit-cost cost-5,5 YEAR,59.1,FULL BODIED,"{""smoky"":40,""peaty"":40,""spicy"":45,""herbal"":35,""oily"":30,""full_bodied"":55,""rich"":30,""sweet"":35,""briny"":10,""salty"":15,""vanilla"":40,""tart"":15,""fruity"":15,""floral"":20}"
ARDBEG SUPERNOVA 2015,https://distiller.com/spirits/ardbeg-supernova-2015,78,Ardbeg,spirit-cost cost-5,NAS,54.3,PEATY & SPICY,"{""smoky"":70,""peaty"":90,""spicy"":80,""herbal"":30,""oily"":25,""full_bodied"":60,""rich"":55,""sweet"":30,""briny"":30,""salty"":30,""vanilla"":10,""tart"":40,""fruity"":20,""floral"":0}"
CAOL ILA 25 YEAR,https://distiller.com/spirits/caol-ila-25-year,84,Caol Ila,spirit-cost cost-5,25 YEAR,43.0,FULL BODIED,"{""smoky"":30,""peaty"":20,""spicy"":50,""herbal"":30,""oily"":40,""full_bodied"":60,""rich"":50,""sweet"":40,""briny"":20,""salty"":40,""vanilla"":40,""tart"":30,""fruity"":30,""floral"":0}"
LONGROW 18 YEAR,https://distiller.com/spirits/longrow-18,84,Longrow,spirit-cost cost-5,18 YEAR,46.0,SMOKY & RICH,"{""smoky"":75,""peaty"":40,""spicy"":20,""herbal"":35,""oily"":50,""full_bodied"":45,""rich"":60,""sweet"":30,""briny"":30,""salty"":25,""vanilla"":20,""tart"":25,""fruity"":30,""floral"":25}"
OCTOMORE MASTERCLASS 08.3/309 ISLAY BARLEY,https://distiller.com/spirits/octomore-masterclass-08-3-309-islay-barley,77,Octomore,spirit-cost cost-5,5 YEAR,61.2,RICH & FULL BODIED,"{""smoky"":75,""peaty"":60,""spicy"":30,""herbal"":20,""oily"":30,""full_bodied"":85,""rich"":95,""sweet"":20,""briny"":15,""salty"":0,""vanilla"":0,""tart"":25,""fruity"":20,""floral"":40}"
GLENFIDDICH VINTAGE CASK,https://distiller.com/spirits/glenfiddich-vintage-cask,83,Glenfiddich,spirit-cost cost-4,NAS,40.0,FRUITY & SWEET,"{""smoky"":35,""peaty"":35,""spicy"":60,""herbal"":20,""oily"":20,""full_bodied"":50,""rich"":50,""sweet"":60,""briny"":0,""salty"":0,""vanilla"":40,""tart"":20,""fruity"":60,""floral"":20}"
ARDBEG KELPIE (2017 COMMITTEE RELEASE),https://distiller.com/spirits/ardbeg-kelpie-2017-committee-release,72,Ardbeg,spirit-cost cost-5,NAS,51.7,BRINY & FULL BODIED,"{""smoky"":80,""peaty"":50,""spicy"":30,""herbal"":20,""oily"":40,""full_bodied"":80,""rich"":70,""sweet"":50,""briny"":80,""salty"":60,""vanilla"":50,""tart"":40,""fruity"":30,""floral"":0}"
OCTOMORE 07.2/208 CASK EVOLUTION,https://distiller.com/spirits/octomore-072-208-cask-evolution,77,Octomore,spirit-cost cost-5,5 YEAR,58.5,NA,NA
ARDBEG SUPERNOVA 2014,https://distiller.com/spirits/ardbeg-supernova-2014,73,Ardbeg,spirit-cost cost-5,NAS,55.0,NA,NA
AILSA BAY SWEET SMOKE RELEASE 1.2,https://distiller.com/spirits/ailsa-bay-sweet-smoke-release-1-2,76,Ailsa Bay,spirit-cost cost-3,NAS,48.9,SWEET,"{""smoky"":40,""peaty"":25,""spicy"":10,""herbal"":35,""oily"":25,""full_bodied"":30,""rich"":35,""sweet"":40,""briny"":5,""salty"":5,""vanilla"":35,""tart"":10,""fruity"":30,""floral"":10}"
ANCNOC CUTTER,https://distiller.com/spirits/ancnoc-cutter,73,anCnoc,spirit-cost cost-3,NAS,46.0,RICH & FULL BODIED,"{""smoky"":75,""peaty"":70,""spicy"":10,""herbal"":20,""oily"":40,""full_bodied"":80,""rich"":80,""sweet"":40,""briny"":30,""salty"":10,""vanilla"":15,""tart"":0,""fruity"":50,""floral"":0}"
BENRIACH SEPTENDECIM 17 YEAR,https://distiller.com/spirits/benriach-septendecim-17-year,74,Benriach,spirit-cost cost-4,17,46.0,HERBAL & PEATY,"{""smoky"":50,""peaty"":70,""spicy"":50,""herbal"":70,""oily"":40,""full_bodied"":50,""rich"":50,""sweet"":40,""briny"":0,""salty"":10,""vanilla"":30,""tart"":40,""fruity"":20,""floral"":0}"
ARDBEG ALLIGATOR,https://distiller.com/spirits/ardbeg-alligator,71,Ardbeg,spirit-cost cost-5,NAS,51.2,RICH & SMOKY,"{""smoky"":90,""peaty"":80,""spicy"":50,""herbal"":70,""oily"":30,""full_bodied"":10,""rich"":90,""sweet"":60,""briny"":20,""salty"":40,""vanilla"":70,""tart"":0,""fruity"":50,""floral"":50}"
LAGAVULIN 12 YEAR (2018 SPECIAL RELEASE),https://distiller.com/spirits/lagavulin-12-year-2018-special-release,71,Lagavulin,spirit-cost cost-4,12 YEAR,57.8,NA,NA
LAPHROAIG CAIRDEAS 2013 PORT WOOD EDITION,https://distiller.com/spirits/laphroaig-cairdeas-feis-ile-2013-port-wood-edition,67,Laphroaig,spirit-cost cost-4,NAS,51.3,FLORAL & FRUITY,"{""smoky"":10,""peaty"":40,""spicy"":70,""herbal"":50,""oily"":20,""full_bodied"":70,""rich"":80,""sweet"":80,""briny"":0,""salty"":20,""vanilla"":80,""tart"":20,""fruity"":80,""floral"":80}"
OLD BALLANTRUAN THE 'PEATED MALT',https://distiller.com/spirits/old-ballantruan-the-peated-malt,71,Old Ballantruan,spirit-cost cost-3,NAS,50.0,HERBAL,"{""smoky"":40,""peaty"":50,""spicy"":30,""herbal"":50,""oily"":15,""full_bodied"":40,""rich"":40,""sweet"":40,""briny"":10,""salty"":10,""vanilla"":15,""tart"":30,""fruity"":15,""floral"":0}"
OCTOMORE MASTERCLASS 08.2/167,https://distiller.com/spirits/octomore-masterclass-08-2-167,66,Octomore,spirit-cost cost-5,8 YEAR,58.4,PEATY & RICH,"{""smoky"":45,""peaty"":70,""spicy"":20,""herbal"":15,""oily"":30,""full_bodied"":50,""rich"":65,""sweet"":30,""briny"":10,""salty"":0,""vanilla"":15,""tart"":0,""fruity"":20,""floral"":30}"
